"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Nov 05 13:44:39 IST 2019","Tue Nov 05 13:44:39 IST 2019","299","","demo calculator tests","","demo calculator tests","subtraction test","subtraction test",""
"passed","Thu Nov 07 19:24:32 IST 2019","Thu Nov 07 19:24:42 IST 2019","9481","","demo calculator tests","","demo calculator tests","addition test","addition test",""
